gene_id	cell_type
MAL2	vGLUT_depleted
MAS1	vGLUT_depleted
MBOAT7	vGLUT_depleted
MBTPS2	vGLUT_depleted
MCHR1	vGLUT_depleted
MCOLN1	vGLUT_depleted
MFSD5	vGLUT_depleted
MIA3	vGLUT_depleted
MOG	vGLUT_depleted
MYADM	vGLUT_depleted
ND2	vGLUT_depleted
NDFIP1	vGLUT_depleted
NDFIP2	vGLUT_depleted
NPY1R	vGLUT_depleted
NPY2R	vGLUT_depleted
NRG3	vGLUT_depleted
NRSN2	vGLUT_depleted
OSTC	vGLUT_depleted
P2RY12	vGLUT_depleted
PAM	vGLUT_depleted
PGRMC1	vGLUT_depleted
PIGP	vGLUT_depleted
PIGT	vGLUT_depleted
PLLP	vGLUT_depleted
PLP1	vGLUT_depleted
PORCN	vGLUT_depleted
PRAF2	vGLUT_depleted
PRNP	vGLUT_depleted
PRRT2	vGLUT_depleted
RABAC1	vGLUT_depleted
REEP5	vGLUT_depleted
RNASEK	vGLUT_depleted
RNF103	vGLUT_depleted
RNF128	vGLUT_depleted
RNF170	vGLUT_depleted
RNF26	vGLUT_depleted
RTN1	vGLUT_depleted
RTN3	vGLUT_depleted
RTN4	vGLUT_depleted
RXFP1	vGLUT_depleted
SC5D	vGLUT_depleted
SCAMP1	vGLUT_depleted
SCAMP2	vGLUT_depleted
SCAMP5	vGLUT_depleted
SEC62	vGLUT_depleted
SERINC1	vGLUT_depleted
SERINC3	vGLUT_depleted
SHISA4	vGLUT_depleted
SLC17A6	vGLUT_depleted
SLC1A1	vGLUT_depleted
SLC22A17	vGLUT_depleted
SLC24A3	vGLUT_depleted
SLC2A13	vGLUT_depleted
SLC30A3	vGLUT_depleted
SLC32A1	vGLUT_depleted
SLC35A1	vGLUT_depleted
SLC35F1	vGLUT_depleted
SLC35G2	vGLUT_depleted
SLC38A7	vGLUT_depleted
SLC39A10	vGLUT_depleted
SLC39A6	vGLUT_depleted
SLC4A10	vGLUT_depleted
SLC6A15	vGLUT_depleted
SLC6A9	vGLUT_depleted
SLCO3A1	vGLUT_depleted
SPCS1	vGLUT_depleted
SQLE	vGLUT_depleted
SRD5A3	vGLUT_depleted
SSTR2	vGLUT_depleted
